"course","section","semester","size","max","time","tag","dept","dept2","dept3","dept4","description"
"Green New Deal","01","F22",8,20,"Tuesday/Thursday | 10:00 AM - 11:20 AM",300,"ENST",NA,NA,NA,"The Green New Deal has gained traction in the United States and around the world as a new approach to environmental policy and to redress structural inequalities linked to income and race. What is the Green New Deal, and how does it seem to transform environmental governance? In this course, we will explore key readings on the Green New Deal, and explore its connection to the original New Deal. We will examine how it relates to relevant literatures, such as environmental economics, political economy, critical race theory, and environmental sociology. We will critically debate the merits of various proposals for the Green New Deal using these frameworks and explore what it might take to translate these proposals into effective legislation. This class will equip students to contribute to a national conversation around these questions. Students will write weekly reflections, a policy brief or op-ed, and a research paper.Pre-requisite: Background knowledge on climate change, environmental policy, or economics is recommended. Instructor permission required for students who have not taken ENST 120."
"Groups, Rings and Fields","01","F22",13,25,"Monday/Wednesday/Friday | 2:00 PM - 2:50 PM",350,"MATH",NA,NA,NA,"A brief consideration of properties of sets, mappings, and the system of integers, followed by an introduction to the theory of groups and rings including the principal theorems on homomorphisms and the related quotient structures; integral domains, fields, polynomial rings. Four class hours per week."
"Guns in American Pol.","01","F22",29,30,"Tuesday/Thursday | 10:00 AM - 11:20 AM",152,"POSC",NA,NA,NA,"This course will address the politics of gun ownership, as well as the meanings of guns in American civic life. Focusing on the philosophical, social, legal, institutional, cultural, and economic lenses through which Americans have made sense of the role of firearms in American politics, this course will use firearms policy to explore a range of questions: how has our understanding of self-protection changed or not over time? What was the role of the Second Amendment in the making of the Constitution? How do we make sense of the controversies and debates that have surrounded the ""right to bear arms"" and its interpretation in legal and historical scholarship? How does mobilization around guns and gun rights reflect and shape racial, ethnic, and gender identities? Where and when do such mobilizations occur? In what ways are U.S. policies and attitudes actually exceptional among developed countries? In this sense, guns serve as a way of putting into sharp focus deeper questions about the institutional and social contexts of belonging and exclusion in U.S. politics."
"Haitian Rev","01","F22",9,15,"Tuesday/Thursday | 1:00 PM - 2:20 PM",277,"BLST","HIST","LLAS",NA,"The Haitian Revolution began in 1791 with a slave revolt on a single plantation and, after more than a decade of total war, destroyed slavery forever and resulted in the independence of the world's first Black republic. By the end of 1804, the white planter class had been killed or exiled and Black men ruled the island. Before it happened, white slave masters could never imagine that tens of thousands of enslaved Africans would one day break their chains and succeed in defeating French, British, and Spanish armies. For millions of enslaved people, the Haitian Revolution proved that the dream of freedom could become reality and inspired slave conspiracies and rebellions from Virginia to Brazil. At the same time, Haiti struck fear in white slave masters throughout the Americas, who did their best to strangle the new Black Republic in its cradle. This readings-based course features both secondary and primary sources. Students will gain in-depth understanding of the origins and development of the Haitian Revolution and its impact in Africa, Europe, and the Americas. Students will be evaluated on class participation, a series of weekly reading notes, and two short papers."
"Harmony & Counterpoint I","01","F22",12,18,"Monday/Wednesday/Friday | 11:00 AM - 11:50 AM",341,"MUSI",NA,NA,NA,"As musicians, we sometimes forget how powerful harmony is. We casually drop the term in conversation. We think of it as common knowledge. Well, in a way, it is. Emerging in the 17th century in Western Europe and eventually spreading to many places around the world, this musical system has come to play a tremendous role in our perception of musical structure and our emotional experience as listeners.We find harmony in concert halls, coliseums, and coffeehouses, jazz clubs, movie theaters, and mosh pits. Inextricably bound to our digital-download algorithms for ""happy"", ""focus-flow"", and ""lo-fi cool down"", it is built into our playlists. Through composition, analysis, dictation and performance, we will develop theoretical and practical tools to cultivate a deep understanding of the conventions of tonal harmony across a variety of styles. We will use counterpoint - the combination of melodic lines - to amplify our examination.This course is the first of the required music theory sequence for majors. Three class meetings and two ear-training sections per week. Students who have not previously taken a course in music theory at Amherst College are encouraged to take a self-administered placement exam available on the Music Department Website. Students are also encouraged to discuss placement in music theory with a member of the Music Department."
"Hell","01","F22",26,0,"Tuesday/Thursday | 2:30 PM - 3:50 PM",227,"RELI",NA,NA,NA,"How do ideas about Hell and the possibility of eternal punishment shape attitudes toward death, influence understandings of morality, and reflect lived realities? Focusing on the history of Christian formulations of Hell, this course explores the variety of ways people have imagined what happens to them after death, how those ideas have developed, and what those ideas can tell us about the people who wrote, read, and talked about Hell. We will explore depictions of Hell from the ancient world to today, including literature, architecture, art, film, video games, and music, and our discussions will consider how the geographies, punishments, and monsters of Hell have fit within religious discourses, reflected social contexts, and helped shape human behavior."
"Hip Hop History","01","F22",28,30,"Wednesday/Friday | 2:00 PM - 3:20 PM",126,"BLST","MUSI",NA,NA,"This course examines the cultural origins of hip hop and how this small, minority, Bronx-based subculture expanded into one of the most influential styles of music in the world. The course will begin by analyzing the cultural conditions out of which hip hop arose in the mid-1970s; from there it will turn to examining how hip hop music, over the last thirty-five years, has sounded out the identity of its creators as they have grappled with six major questions: What musical elements are crucial components of hip hop's sound? What does realness in hip hop sound like, and why does it matter? How have artists negotiated expressing their specific geographic origins while simultaneously embracing globalization? How does this genre fit into the music industry, and how has the music industry affected hip hop? Should hip hop be political, and how should artists express their politics? How have technological developments altered hip hop's sound? Through answering these questions, students will gain an understanding of how hip hop has developed into the styles that we hear today, and how hip hop has radically transformed American racial politics and popular culture more broadly."
"History Dynastic China","01","F22",11,15,"Tuesday/Thursday | 8:30 AM - 9:50 AM",171,"ASLC","HIST",NA,NA,"This introductory course provides a broad overview of China's long history and major cultural traditions from its very beginnings to the eve of modernity. No familiarity with China or previous experience in the study of history is assumed or required. Over the course of the semester, we will investigate long-term economic, social, and cultural transformations in Chinese history. We will examine a broad array of issues, such as the role of geography in shaping history, the glorified antiquity in traditional Chinese political thought, the rise and fall of dynastic empires, China's troubled relationship with the Inner Asian steppe and nomadic societies, cycles of peasant rebellions and civil wars, emergence of major philosophical schools and the canonization of Confucian thought, establishment of the civil examination system and a bureaucratic state, the formation of a literati elite and its culture, rise of Buddhism and Daoism, evolution of gender, family, and kinship structures, and China's engagement with the outside world through trade and diplomacy. In this course, students will engage a wide range of primary sources-ancient classics, poems, films, paintings, novels, and memoirs-and learn to develop skills in reading these sources in their historical contexts. At several points in the semester, we will also look at how this history has been used and recycled in contemporary politics and popular culture and reflect upon the continuing legacies of this history for China and the world today. Classes will entail lectures combined with close readings and discussions that engage primary texts, interpretive essays, and film."
"Human Health","01","F22",28,25,"Monday/Wednesday/Friday | 11:00 AM - 11:50 AM",223,"PHIL",NA,NA,NA,"U.S. citizens are currently faced with many important decisions about health care policy. Who should have access to health care and to which services?   Should people shoulder the costs of their own unhealthy choices, or would a just society provide health care to all equally?  Should physician-assisted suicide be legalized?  Should abortion remain legal?  Should I be able to make decisions about the health care of my future incompetent self with dementia, even if my future self would disagree with these decisions?  What are our moral obligations to protect human health globally? These issues, in turn, raise basic philosophical questions.  What is the nature of a just society? When are individuals rightly held responsible for their choices?  Am I the same person as any future person with severe dementia?  When does my life begin and when does it end?  What are rights?  Do we, for example, have a basic moral right to health care, to privacy, to decide the course of our treatment, or to authority about the timing and manner of our deaths?  Do we have rights to other goods that have even more impact on our health than access to health care?  Do fetuses have a right to life? These issues, in turn, raise questions about the relative weight and nature of various goods  (e.g., life, pain relief, health, privacy, autonomy, and relationships) and questions about the justice of various distributions of these goods between different individuals.  Finally, our attempts to answer these questions will raise basic questions about the nature of rationality. Is it possible to reach rational decisions about ethical matters, or is ethics merely subjective?"
"Hydrogeology","01","F22",10,10,"Tuesday/Thursday | 10:00 AM - 11:20 AM",301,"ENST","GEOL",NA,NA,"As the global human population expands in a future marked by climate change, the search for and preservation of our most vital resource, water, will demand thoughtful policy and greater scientific understanding. This course is an introduction to surface and groundwater hydrology, geochemistry, and management for natural systems and human needs. Lectures will focus on understanding the hydrologic cycle, how water flows over and within the earth, and the many ways in which this water is threatened by contamination and overuse. Three hours of lecture and three hours of lab each week. 
  The laboratory will be centered around on-going local issues concerning use and restoration of the Fort River watershed."
"I See Voices!","01","F22",13,0,"Tuesday/Thursday | 11:30 AM - 12:50 PM",357,"FREN",NA,NA,NA,"In 1868, a mysterious 22-year-old writer calling himself the Comte de Lautr'eamont published The Songs of Maldoror. Of the eponymous hero of the book, Lautr'eamont wrote: ""He is as handsome as the retractility of the claws in birds of prey; or, again, as the unpredictability of muscular movement in sores in the soft spot of the posterior cervical region; or, rather, as the perpetual motion rat-trap which is always reset by the trapped animal and which can go on catching rodents indefinitely and works even when it is hidden under straw; and, above all, as the chance juxtaposition of a sewing machine and an umbrella on a dissecting table!"" Do you understand what Lautr'eamont means? I do and I do not. I do not understand, but I see what he means. I see a world which does not resemble the world as I experience it. A world where beauty is neither aesthetically pleasing nor universal, where flowers are evil and rat-traps endlessly inspiring. For many critics, The Songs of Maldoror marked the birth of literary modernity in French. Writers who wished to create new modes of writing and of representing the world set out to destroy meaning. Dictionaries became useless, the textual became eminently visual, and language created new worlds, as the distinctions between prose and poetry, between reality and dreams, collapsed. In this course, we will follow avant-garde writers' experiments in thinking language anew: not as a set of fixed relationships, but as a perpetual movement between words and objects. We will read primary sources by Arthur Rimbaud, Comte de Lautr'eamont, Dada, the Surrealists, Henri Michaux, Gherasim Luca and H'el`ene Cixous; and critical sources by Plato, Ferdinand de Saussure and Michel Foucault, among others. Conducted in French."
"Identity and Ideology","01","F22",6,30,"Monday/Wednesday | 12:30 PM - 1:50 PM",245,"EUST","FAMS","RUSS",NA,"Are our screens really windows through which we glimpse other worlds? Or just mirrors reflecting our own preconceptions? Are they doors through which we enter new experiences? Or cheap frames for prepackaged content? The power of visual media to emancipate its users - or trap them - was first recognized in the cinema, from the earliest silents to the flourishing of classical sound film. Film has always been the great art of exile, produced by immigrants and cosmopolitans facilitating the circulation of images, identities and ideologies. Yet it was also the battleground of competing visions of modernity, from Hollywood's exported Americanism to Soviet political and artistic utopias, to Nazi promises of national renewal. In this course we focus on the interactions between Soviet, German, and American cinemas in the first half of the twentieth century as a way of understanding visual media's power to shape identity and circulate ideology. We will look not only at questions of propaganda and censorship, but also at mediation, circulation, and exchange, as well as the crucial skills of (self-)translation and adaptation. Key figures include Grigory Alexandrov, Boris Barnet, Bertolt Brecht, Louise Brooks, Marlene Dietrich, Sergei Eisenstein, Greta Garbo, Piel Jutzi, Lev Kuleshov, Fedor Otsep, G.W. Pabst, Anna Sten, and Josef von Sternberg. No previous background or language knowledge required - all films with English subtitles."
"Improvised Music","01","F22",10,0,"Wednesday/Friday | 12:30 PM - 1:50 PM",439,"MUSI",NA,NA,NA,"Functioning as a combined seminar and performance workshop, this course explores the theory and practice of musical improvisation. Rather than focus on one specific musical style, we will define ""improvised music"" in an inclusive way that draws equally from American and European experimental musics, various approaches to post-1965 jazz improvisation, and several musical traditions from around the world that prominently use improvisation. Students will be encouraged to develop new performance practices drawn from and in dialogue with these diverse musical traditions. Reading, listening, and video assignments will help familiarize students with the burgeoning field of improvised music studies and will serve to guide class discussions. Students with any musical/stylistic background are encouraged to enroll. Two class meetings per week. Fulfills the departmental seminar requirement for the major."
"In Black and White","01","F22",21,20,"Tuesday/Thursday | 10:00 AM - 11:20 AM",121,"ARHA",NA,NA,NA,"This introductory course will explore historical developments in the medium of black and white photography from its inception in the mid-nineteenth century to the present moment. We will look at this trajectory to examine how photography has been utilized to materialize thoughts on race as well as intervene in racial politics. How is it that a picture can prompt someone to participate in racist ideology? Conversely, how does a photograph become instrumental to social justice? Responding to these questions requires not just an historical study of black and white photography but also a critical inquiry into the formal qualities of this medium and its capacity to enact material change. Together, we will think about and complicate the truth value of photography by performing analyses of historical documents, anthropological portraits, and works by photographers such as Arthur P. Bedou, Seydou Ke""ita, Carrie Mae Weems, and Dawoud Bey. Students will develop visual literacy skills through close looking as well as research skills needed for the analysis of historical documents and artistic works. Assessment will be based on weekly responses to readings, discussion participation, and either a written or creative final project."
"Indigenous Women","01","F22",11,18,"Wednesday | 2:00 PM - 5:00 PM",411,"POSC","SWAG",NA,NA,"Indigenous women are rarely considered actors in world politics. Yet from their positions of marginality, they are shaping politics in significant ways. This course inter-weaves feminist and Indigenous approaches to suggest the importance of Indigenous women's political contributions. It is an invitation not merely to recognize their achievements but also to understand why they matter to international relations.This course tackles varied Indigenous contexts, ranging from pre-conquest gender relations to the 1994 Zapatista uprising. We will learn how Indigenous women played diplomatic roles and led armies into battle during colonial times. We will analyze the progressive erosion of their political and economic power, notably through the introduction of property rights, to understand the intersectional forms of racial, class, and gender violence. Course materials explore the linkages between sexuality and colonization, revealing how sexual violence was a tool of conquest, how gender norms were enforced and sexualities disciplined. In doing so, we will analyze indigenous women's relationship to feminism as well as their specific struggles for self-determination. We will illustrate the sophistication of their current activism in such cases as the Maya defense of collective intellectual property rights. As we follow their struggles from the Arctic to the Andes, we will understand how indigenous women articulate local, national, and international politics to challenge state sovereignty."
"Inequality in the U.S.","01","F22",30,30,"Tuesday/Thursday | 10:00 AM - 11:20 AM",218,"ECON",NA,NA,NA,"The United States is in an unprecedented period of rising inequality. This course begins by examining the history of inequality in the U.S. since the start of the twentieth century. It then uses cutting-edge and detailed national data to document and explore the current state of inequality and intergenerational mobility in the U.S. We consider inequality by various metrics, such as race, gender, and geography, and in various outcomes, such as income, wealth, health, educational attainment, and incarceration. The course then examines determinants of inequality, and finally, investigates policy solutions to inequality. Throughout the course, economic models related to inequality are both presented and critiqued. Finally, special attention is paid throughout the course to causal inference, and to students honing their skills at understanding the intuition behind commonly used research methods to estimate causal effects.Requisites: ECON 111/ECON 111E."
"Inorganic Chemistry","01","F22",21,20,"Monday/Wednesday | 10:00 AM - 10:50 AM",371,"CHEM",NA,NA,NA,"This course will discuss structure, bonding, and properties of transition metal-containing molecules and inorganic solids. Students will examine structure and bonding in transition metal complexes through molecular orbital and ligand field theories, with an emphasis on the magnetic, spectroscopic, and thermodynamic properties of transition metal complexes. The class will also examine reactions of transition metal complexes, including the unique chemistry of organometallic compounds. The laboratory experiments complement lecture material and include an independent project. Three hours of class, one hour of discussion and four hours of laboratory per week."
"Inside Iran","01","F22",5,18,"Monday/Wednesday | 8:30 AM - 9:50 AM",392,"ASLC","HIST",NA,NA,"This course explores contemporary Iran from a historical and interdisciplinary perspective. The course provides an overall understanding of the modern history of Iran, with a focus on the way Iranian history has been variously constructed and deployed. We will utilize a wide variety of primary sources, including literature, film, political treatises, Shiite theological writing, foreign travel accounts, and U.S. state department documents, in addition to secondary sources. Course conducted as a seminar. Frequent short papers based on class readings and short final research paper. Seminar paper optional. Two meetings per week."
"Inter. Rel. Gone Viral","01","F22",19,20,"Tuesday/Thursday | 2:30 PM - 3:50 PM",216,"POSC",NA,NA,NA,"This class offers an introduction to the study of international relations in the age of a pandemic. In its exploration of both classic and cutting-edge research, the class sheds light on enduring debates in studies of global politics. Thus, this class will address foundational puzzles in international relations while tracing the unfolding of the recent pandemic, including: when are countries more likely to cooperate while facing global crises? When do crises ignite nationalism, thus pushing countries to compete for resources? When is global trade more likely to come to a halt, and why? How do major crises proliferate across issue areas, affecting cooperation on other areas such as climate change? What is the origin and the purpose of multilateral international organizations such as the World Health Organization? When do such organizations fail or succeed? What are the implications of framing the COVID-19 pandemic as a ""war""? This class fulfills requirements 1 or 2 for the IR Five-College Certificate."
"Intergroup Dialog Race","01","F22",16,17,"Monday | 2:00 PM - 5:00 PM",224,"EDST","PSYC",NA,NA,"This highly interactive course brings together students to examine the roles race and other intersecting identities play in their lives. Course work includes an interdisciplinary blend of scholarly readings, in-class dialogue, experiential learning activities, reflective writing, and an intergroup collaborative research project. Students in this course bring their own experiences with race into the classroom as a legitimate and valued source for learning. The course readings link students' personal experiences around race to a socio-historical understanding of individual, institutional, and structural discrimination--to the ways social inequality is embedded in social institutions and individual consciousness, constraining life chances. Early in the course students engage in structured activities that develop trust among participants, and learn skills at intergroup dialogue--suspending judgment and listening for understanding--in order to create respectful, sustained dialogues around racial divisions. Students engage in small mixed-race teams to research a racial inequality/inequity on campus. Students do reflective writing weekly linking their in-class experiences to the readings, as well as reflective writing at the end about their learning throughout the semester. The course exposes participants in a very intimate way to how classmates of different races see and experience the world, to the pain and trauma students of color may have undergone due to race, and to the privilege White students possess, whether or not they are aware of it. Offered"
"Intermediate Calculus","01","F22",41,0,"Monday/Wednesday/Friday | 9:00 AM - 9:50 AM",121,"MATH",NA,NA,NA,"A continuation of MATH 111. Inverse trigonometric and hyperbolic functions; methods of integration, both exact and approximate; applications of integration to volume and arc length; improper integrals; l'H^opital's rule; infinite series, power series and the Taylor development; and polar coordinates. Four class hours per week."
"Intermediate French","01","F22",9,0,"Monday/Wednesday/Friday | 11:00 AM - 11:50 AM",103,"FREN",NA,NA,NA,"Intensive review and coverage of all basic French grammar points with emphasis on the understanding of structural and functional aspects of the language and acquisition of the basic active skills. We will be using the multimedia program, Imaginez. Three hours a week for explanation and demonstration, plus small sections with French assistants. This course prepares students for FREN 205."
"Intermediate German","01","F22",9,0,"Monday/Wednesday/Friday | 10:00 AM - 10:50 AM",205,"GERM",NA,NA,NA,"Systematic review of grammar, aural and speaking practice, discussion of video and television programs, and reading of selected texts in contemporary German. Stress will be on the acquisition and polishing of verbal, reading, writing, and comprehension skills in German. Three hours per week for explanation and structured discussion, plus one hour per week in small sections for additional practice with German language assistants."
"Intermediate Statistics","01","F22",15,24,"Monday/Wednesday/Friday | 9:00 AM - 9:50 AM",230,"STAT",NA,NA,NA,"This course is an intermediate applied statistics course that builds on the statistical data analysis methods introduced in STAT 111 or STAT 135. Students will learn how to pose a statistical question, perform appropriate statistical analysis of the data, and properly interpret and communicate their results. Emphasis will be placed on the use of statistical software, data wrangling, model fitting, and assessment. Topics covered will include ethics, experimental design, resampling approaches, analysis of variance models, multiple regression, model selection, and logistic regression. No prior experience with statistical software is expected"
"Intro Comp Science II","01","F22",28,40,"Wednesday/Friday | 10:00 AM - 10:50 AM",112,"COSC",NA,NA,NA,"A continuation of COSC 111. This course will emphasize more complicated problems and their algorithmic solutions. The object-oriented programming paradigm will be discussed in detail, including data abstraction, inheritance, and polymorphism. Other topics will include stacks, queues, linked lists, programming for graphical user interfaces, and basic topics in probability. A laboratory section will meet once a week to give students practice with programming constructs."
"Intro Computer Science I","01","F22",37,40,"Monday/Wednesday | 11:00 AM - 11:50 AM",111,"COSC",NA,NA,NA,"This course introduces ideas and techniques that are fundamental to computer science. The course emphasizes procedural abstraction, algorithmic methods, and structured design techniques. Students will gain a working knowledge of a block-structured programming language and will use the language to solve a variety of problems illustrating ideas in computer science. A selection of other elementary topics will be presented. A laboratory section will meet once a week to give students practice with programming constructs. Two class hours and one one-hour laboratory per week.Restricted to Amherst College students."
"Intro French Lit & Cult","01","F22",11,0,"Monday/Wednesday/Friday | 11:00 AM - 11:50 AM",207,"FREN",NA,NA,NA,"Through class discussion, debates, and frequent short papers, students develop effective skills in self-expression, analysis, and interpretation. Literary texts, articles on current events, and films are studied within the context of the changing structures of French society and France's complex relationship to its recent past. Assignments include both creative and analytic approaches to writing. Some grammar review as necessary, as well as work on understanding spoken French using video materials. Highly recommended for students planning to study abroad."
"Intro Greek Language","01","F22",6,0,"Monday/Wednesday/Friday | 9:00 AM - 9:50 AM",111,"GREE",NA,NA,NA,"This course prepares students in one term to read Plato, Greek tragedy, Homer, and other Greek literary, historical, and philosophical texts in the original and also provides sufficient competence to read New Testament Greek. Three class hours per week.In the"
"Intro to Analysis","01","F22",24,29,"Monday/Wednesday/Friday | 1:00 PM - 1:50 PM",355,"MATH",NA,NA,NA,"Completeness of the real numbers; topology of n-space including the Bolzano-Weierstrass and Heine-Borel theorems; sequences, properties of continuous functions on sets; infinite series, uniform convergence. The course may also study the Gamma function, Stirling's formula, or Fourier series. Four class hours per week."
"Intro to Black Studies","01","F22",18,18,"Monday/Wednesday | 12:30 PM - 1:50 PM",111,"BLST",NA,NA,NA,"This interdisciplinary introduction to Black Studies combines the teaching of foundational texts in the field with instruction in reading and writing. The first half of the course employs How to Read a Book by Mortimer Adler and Charles Van Doren as a guide to the careful reading of books focusing on the slave trade and its effects in Africa, the Caribbean, and the United States. Important readings in this part of the course include Black Odyssey by Nathan Huggins, Racism: A Short History by George Frederickson, and The Black Jacobins by C. L. R. James. The second half of the course addresses important themes from the turn of the twentieth century to the present. Beginning with The Souls of Black Folk by W. E. B. Du Bois, it proceeds through a range of seminal texts, including The Wretched of the Earth by Frantz Fanon and The Fire Next Time by James Baldwin. This part of the course utilizes Revising Prose by Richard Lanham to extend the lesson in reading from the first half of the semester into an exploration of precision and style in writing. Computer exercises based on Revising Prose and three short essays-one on a single book, another comparing two books, and the last on a major theme in the course-provide the main opportunity to apply and reinforce skills in reading and writing learned throughout the semester. After taking this course, students at all levels of preparation should emerge not only with a good foundation for advancement in Black Studies but also with a useful set of guidelines for further achievement in the humanities and the social sciences."
"Intro to Greek Tragedy","01","F22",5,0,"Monday/Wednesday/Friday | 10:00 AM - 10:50 AM",215,"GREE",NA,NA,NA,"An introduction to Greek tragedy as a literary and ritual form through a close reading of one play. We will read the Bacchae of Euripides, with attention to poetic language, dramatic technique, and ritual context. This course aims to establish reading proficiency in Greek, with review of forms and syntax as needed. Three class hours per week."
"Intro to Modernism","01","F22",27,35,"Tuesday/Thursday | 10:00 AM - 11:20 AM",261,"ENGL",NA,NA,NA,"This course introduces students to modernist literature and culture, with a thematic focus on modernist cityscapes. We will study literary works by T. S. Eliot, Langston Hughes, James Joyce, Nella Larsen, Jean Rhys, and Virginia Woolf, among others, alongside photography and early cinema, reading these texts against historical and critical discussions of the role of the city in shaping modern experience. Among other topics, we will explore modernist experimentation with form and voice, and the imperative to ""make it new""; war, violence, and trauma; race, gender, sexuality, and the nation; and the relationship between politics and aesthetics. Writing assignments will include forum posts, short essays, and a final research paper."
"Intro to Political Philo","01","F22",23,24,"Tuesday/Thursday | 2:30 PM - 3:50 PM",226,"PHIL",NA,NA,NA,"States are made up of individuals. And yet states have powers that no individuals have. They collect taxes, put us in jail, draft us into the army, tell us what we can and cannot own, etc. In general, states compel us to do things in the name of the 'common good,' even when that good conflicts with what we would individually prefer to do. In this course, an introduction to key concepts in Western political philosophy, we seek to understand what, if anything, could justify states' having this power over us. To this end, we examine two philosophical issues raised by the state. The problem of political obligation. Is there any reason why we ought to obey the law? What are the grounds for legitimate civil disobedience? The question of distributive justice. What reasons are there to tax the rich in order to give to the poor? What is the role of the state in securing economic equality?Readings include: Hobbes, Locke, Rousseau, Nozick, Rawls, Elizabeth Anderson, and others."
"Intro to Psychology","01","F22",39,40,"Monday/Wednesday | 12:30 PM - 1:50 PM",100,"PSYC",NA,NA,NA,"An introduction to the nature of psychological inquiry regarding the origins, variability, and change of human behavior. As such, the course focuses on the nature-nurture controversy, the processes associated with cognitive and emotional development, the role of personal characteristics and situational conditions in shaping behavior, and various approaches to psychotherapy.Not open to five college students."
"Intro to Stat Modeling","01","F22",23,24,"Monday/Wednesday/Friday | 1:00 PM - 1:50 PM",135,"MATH","STAT",NA,NA,"This course is an introductory statistics course that uses modeling as a unifying framework. The course provides a basic foundation in statistics with a major emphasis on constructing models from data. Students learn important concepts of statistics by mastering powerful and relatively advanced statistical techniques using computational tools. Topics include descriptive and inferential statistics, visualization, probability, study design, and multiple regression. Students who have taken a semester of calculus or who are majoring or planning to major in mathematics and/or statistics should take this course instead of STAT 111. No prior experience with statistical software is expected."
"Intro to Statistics","01","F22",12,24,"Monday/Wednesday/Friday | 1:00 PM - 1:50 PM",111,"STAT",NA,NA,NA,"Introduction to Statistics provides a basic foundation in descriptive and inferential statistics, including constructing models from data. Students will learn to think critically about data, produce meaningful graphical and numerical summaries of data, apply basic probability models, and utilize statistical inference procedures using computational tools. Topics include basic descriptive and inferential statistics, visualization, study design, and multiple regression."
"Intro to the Calculus","01","F22",23,0,"Monday/Wednesday/Friday | 11:00 AM - 11:50 AM",111,"MATH",NA,NA,NA,"Basic concepts of limits, derivatives, anti-derivatives; applications, including max/min problems and related rates; the definite integral, simple applications; trigonometric functions; logarithms and exponential functions. Four class hours per week."
"Intro. Economic Networks","01","F22",47,50,"Tuesday/Thursday | 1:00 PM - 2:20 PM",224,"ECON",NA,NA,NA,"The modern era has seen an explosive growth in the interconnectedness of individuals and groups. From social networks facilitating the decentralized exchange of enormous amounts of information to the increasingly complex patterns of loans among financial institutions, the ties that connect agents are an important factor to consider for nearly any policy maker. Networks, collections of objects which are connected by links, have become increasingly prevalent in modern economic research due, in part, to their ability to bridge microeconomic behavior and aggregate patterns in a population. A departure from more traditional applications of networks as modeling physical systems to a more abstract framework capturing the relationships between autonomous agents adds a layer of complexity to the analysis that is well-suited for tools from economics, and in particular game theory. Broadly speaking, this course will explore how the structure of connections between individuals affects, and is affected by, the economic incentives of those individuals. We will begin with an introduction to graphs, and then turn to specific applications of networks within economics. We will discuss networked markets featuring intermediaries between buyers and sellers, the structure of information networks and internet economics, applications to sponsored search, centrality measures for influence, and end with models of cascades and innovation in networks and how the structure of a network affects the likelihood of a cascade."
"Introduction to Music","01","F22",21,24,"Monday/Wednesday/Friday | 10:00 AM - 10:50 AM",111,"MUSI",NA,NA,NA,"This course is intended for students with little or no background in music who would like to develop a theoretical and practical understanding of how music works. Students will be introduced to the technical details of music such as musical notation, intervals, basic harmony, meter and rhythm. Familiarity with basic music theory will enable students to read and perform at sight as well as provide an introduction to the composition of melodies with chordal accompaniment. The music we analyze and perform will draw from folk, popular, and concert traditions. Assignments will include oral and written exercises, and preparation of music for class performance. This course serves as a requisite for many Music Department offerings. Students with some musical experience contemplating MUSI 111 are encouraged to take a self-administered placement exam available at the Music Department website. Students are also encouraged to discuss placement in music theory with a member of the Music Department."
"Introduction to Religion","01","F22",29,0,"Tuesday/Thursday | 10:00 AM - 11:20 AM",111,"RELI",NA,NA,NA,"This year's theme for comparative religion is ""Jesus and the Buddha,"" focusing on how the founders of Christianity and Buddhism have been remembered and understood by their followers. With this theme, the course examines the ways that scholars draw on contextual information to understand religious practices, ideas or beliefs, artifacts, institutions, and symbols. Both these figures have been central to questions about the natures of humans and gods, ethics, ritual practice, gender, sex, and social hierarchy. In this way, Christian and Buddhist ideas about the lives of their founding figures offer rich ground for comparative work as we consider the role of sacred writings, historical context, and interpretations across time. Our study will include a trajectory from ancient to contemporary sources and draw from a variety of relevant media, historical moments, and popular cultural movements."
"Introductory Chemistry","01","F22",45,0,"Monday/Wednesday | 12:00 PM - 1:20 PM",151,"CHEM",NA,NA,NA,"This course examines the structure of matter from both a microscopic and macroscopic viewpoint. We begin with a detailed discussion of the physical structure of atoms, followed by an analysis of how the interactions between atoms lead to the formation of molecules. The relationship between the structures of molecular compounds and their properties is then described. Experiments in the laboratory component provide experience in conducting quantitative chemical measurements and illustrate principles discussed in the lectures. Placement into CHEM 151 is determined by the chemistry department.Each laboratory section is limited to 20 students. In the fall, sufficient laboratory sections will be added to meet total enrollment. The spring semester is limited to two laboratory sections. Four class hours and three hours of laboratory per week."
"Islam: Authors and Texts","01","F22",2,18,"Wednesday | 2:30 PM - 5:15 PM",381,"ASLC","RELI",NA,NA,"Close readings from different school traditions in Islam. Topics may include: belief and unbelief; salvation, language and revelation; prophecy, intellect and imagination; ritual and prayer; human responsibility. Authors will vary from year to year."
